Index,ARG,cARG_abundance,cARG_cDB_abundance,total_reads
MBH073,0.000330277,3.87E-06,3.25E-06,30456226
MHH598,0.000772194,1.92E-06,1.35E-06,15590634
MBH089,0.001229771,1.24E-05,8.39E-06,47530789
MBS1121,0.000388906,2.30E-06,9.28E-07,26942219
MHH384,0.000625109,8.24E-06,6.89E-06,29481248
MBS1169,0.000644435,4.54E-05,4.25E-05,14057274
MHH385,0.000481532,2.81E-05,2.75E-05,12719827
MHH382,0.00074277,4.65E-06,1.67E-06,63605194
MBS1135,0.000390508,1.81E-06,1.10E-06,18258285
MBH040,0.000134315,7.04E-07,4.33E-07,18478973
MHH254,0.000806981,3.08E-06,1.23E-06,19504785
MHH379,0.000673428,3.06E-05,2.87E-05,9323940
MHS126,0.000360604,3.39E-06,2.58E-06,12379217
MHH397,0.00143119,6.53E-05,6.18E-05,18060492
MBS1146,0.001660323,6.99E-05,6.53E-05,9459606
MHH371,0.000494145,4.29E-06,3.58E-06,21218453
MHH554,0.000622113,1.74E-05,1.67E-05,17331259
MHH612,0.000416102,2.59E-06,1.40E-06,19341390
MHH338,0.000801357,1.03E-05,8.50E-06,20829680
MBS1137,0.000548691,2.94E-06,2.10E-06,4769534
MHH378,0.000740186,1.16E-05,8.47E-06,11682195
MHH533,0.001395346,7.40E-05,7.24E-05,15361780
MBS1148,0.005299121,0.001205603,0.001187736,16118900
MHH248,0.002140262,3.16E-06,2.26E-07,17718388
MHH624,0.0004591,4.03E-05,3.92E-05,20372488
MHH359,0.000590682,9.65E-06,7.78E-06,13883948
MHH345,0.000860915,2.92E-05,2.53E-05,15979510
MHS129,0.001069681,0.000243782,0.000233941,17376204
MHH261,0.001435631,5.07E-05,4.71E-05,10710275
MBS1129,0.000585042,3.68E-05,3.55E-05,21389915
MBH078,0.000305895,3.38E-06,2.35E-06,61259587
MHH354,0.00072877,5.15E-05,5.08E-05,19881446
MBH081,0.001203214,5.05E-06,1.56E-06,58801664
MBH049,0.001472562,3.11E-05,2.78E-05,31257774
MBS1119,0.000535505,1.59E-05,1.26E-05,10855164
MBH050,0.000682211,2.76E-05,2.61E-05,27724556
MBS1163,0.000803807,2.04E-05,1.89E-05,21727863
MHH618,0.001262403,3.53E-05,3.33E-05,11953394
MBS1165,0.002344542,0.000144278,0.000134498,11554068
MBH095,0.001212192,3.22E-05,3.03E-05,20723616
