indiv	fam	timepoint	relation	0.0	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08	0.09	0.1	0.11	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.19	0.2	0.21	0.22	0.23	0.24	0.25	0.26	0.27	0.28	0.29	0.3	0.31	0.32	0.33	0.34	0.35	0.36	0.37	0.38	0.39	0.4	0.41	0.42	0.43	0.44	0.45	0.46	0.47	0.48	0.49	0.5	0.51	0.52	0.53	0.54	0.55	0.56	0.57	0.58	0.59	0.6	0.61	0.62	0.63	0.64	0.65	0.66	0.67	0.68	0.69	0.7	0.71	0.72	0.73	0.74	0.75	0.76	0.77	0.78	0.79	0.8	0.81	0.82	0.83	0.84	0.85	0.86	0.87	0.88	0.89	0.9	0.91	0.92	0.93	0.94	0.95	0.96	0.97	0.98	0.99
fam0502-T-V10	fam0502	T	V10	0	0	0	1	1	0	1	0	2	0	4	0	5	9	7	10	15	12	11	8	16	14	13	14	5	16	16	11	13	12	12	5	6	13	3	11	6	4	7	2	10	5	8	7	6	7	8	4	8	0	23	5	6	6	6	9	2	13	7	3	10	5	7	14	10	2	10	3	6	11	29	12	24	11	0	39	38	12	28	7	169	164	39	169	196	197	198	138	306	133	1086	542	969	844	896	934	760	170	8	31101
fam0504-F1-V00	fam0504	F1	V00	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	2	2	5	4	2	2	5	3	2	0	7	5	4	2	0	7	6	1	7	4	9	4	7	5	7	9	7	6	5	6	7	13	10	5	0	19	5	3	4	8	6	5	4	8	3	17	4	1	4	8	5	3	1	2	5	12	2	14	4	0	10	10	3	9	1	67	56	16	62	53	57	50	43	102	31	506	220	405	349	377	403	307	62	2	26591
fam0504-F1-V01	fam0504	F1	V01	0	0	0	0	0	0	0	1	0	2	4	4	5	5	2	6	4	6	6	13	10	11	7	15	4	12	7	3	7	10	12	8	7	8	11	8	9	3	9	4	15	9	9	9	7	9	14	6	8	2	12	5	8	17	6	7	7	4	8	4	18	3	3	3	2	5	5	3	2	3	10	2	3	3	0	11	12	4	2	0	16	30	6	24	23	21	26	25	47	31	231	114	277	273	361	583	758	478	65	43327
fam0504-F1-V02	fam0504	F1	V02	0	0	1	4	18	6	16	14	14	11	10	21	14	9	7	15	20	7	11	19	14	11	18	23	9	17	15	10	23	7	12	9	12	17	14	13	18	13	15	9	17	10	11	10	17	16	15	12	10	12	20	9	12	14	15	19	10	12	11	8	11	10	15	9	7	17	11	5	8	13	11	7	6	9	6	13	12	9	12	10	29	12	10	25	25	28	19	24	26	18	98	61	117	112	175	274	479	929	3484	62023
fam0504-F1-V03	fam0504	F1	V03	0	0	0	2	0	4	3	9	13	10	9	12	12	18	16	16	8	13	13	16	14	11	13	8	12	16	5	11	11	18	14	15	11	10	7	11	7	12	15	13	15	12	15	9	17	16	8	7	8	9	16	16	10	10	12	14	7	10	18	15	11	10	5	4	9	6	13	8	7	11	9	11	9	5	6	7	4	13	12	10	12	10	10	14	13	13	5	10	15	15	55	42	55	70	108	182	352	791	3167	59719
fam0504-F1-V04	fam0504	F1	V04	0	0	0	3	1	3	1	10	6	14	10	10	13	8	11	12	15	15	9	13	15	12	15	21	10	14	8	8	11	11	7	16	10	12	8	7	8	12	9	8	13	15	9	22	11	10	9	11	10	8	15	15	10	13	6	8	9	5	11	9	8	11	6	5	8	5	13	9	11	14	12	9	12	9	7	15	11	8	20	7	41	30	13	32	28	34	34	41	70	31	245	139	300	325	405	709	1353	2411	5153	51001
fam0504-F1-V05	fam0504	F1	V05	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	3	3	3	8	3	3	3	2	8	1	8	6	6	4	4	9	11	3	18	4	7	11	6	8	3	12	1	7	4	6	5	7	7	2	0	24	5	7	6	7	2	5	3	7	1	8	9	5	9	2	5	9	0	4	1	12	3	12	5	0	9	8	1	8	0	67	59	9	62	53	63	72	53	95	31	499	235	407	329	342	341	165	19	2	24781
fam0504-F1-V06	fam0504	F1	V06	0	0	0	1	5	4	6	5	9	15	20	10	10	13	23	14	16	17	11	11	17	9	13	16	11	19	14	8	8	12	14	6	10	14	7	13	12	24	10	14	21	10	12	13	11	13	19	25	16	15	7	12	11	12	12	10	8	7	6	6	14	7	9	15	3	8	13	7	10	8	10	8	20	9	5	18	8	8	25	11	61	40	21	59	64	63	66	59	101	68	312	164	310	357	469	805	1469	3200	8184	49865
fam0504-F1-V08	fam0504	F1	V08	0	0	0	1	6	3	7	8	8	7	8	20	11	19	11	11	19	6	10	15	11	10	19	14	12	11	9	13	12	12	15	7	15	9	11	4	15	6	11	3	7	11	21	15	11	14	15	12	12	9	24	8	12	12	9	8	12	8	9	3	8	4	7	2	7	4	3	8	2	5	21	6	9	11	3	16	8	5	11	2	33	37	13	28	21	35	45	25	54	27	194	96	219	243	342	622	1219	2430	5948	51574
fam0504-F1-V09	fam0504	F1	V09	0	0	0	2	17	131	393	631	791	776	861	607	520	379	314	243	190	144	102	84	83	75	62	55	23	66	46	40	41	28	49	34	16	66	18	41	44	22	52	11	75	54	33	25	28	67	53	49	24	10	182	11	44	68	54	35	59	89	84	17	136	91	51	94	96	78	149	22	110	101	211	135	234	188	61	298	281	203	298	174	546	448	476	583	663	828	975	1031	1415	1399	2220	1950	2375	2323	2310	2487	2563	2385	2815	27252
fam0504-F1-V10	fam0504	F1	V10	0	0	3	8	53	75	106	86	88	91	87	77	84	60	61	45	42	43	50	25	16	24	11	17	14	16	18	16	12	21	11	13	6	10	8	14	11	9	13	11	15	14	8	8	14	15	16	14	11	12	20	12	20	17	9	11	11	7	11	10	22	8	14	19	10	13	24	7	13	21	27	17	31	17	8	29	36	21	59	13	121	106	55	104	99	139	122	110	226	134	543	369	633	812	1087	1737	2822	4608	7442	41353
